"V1"
"c..big.fan.oll.tinber....NA....NA....go.katy.perrykaty.perry.roars.has.changed.uskaty.perrys.firework.has.changed.the.world..."
"big fan oll tinber"
"go katy perrykaty perry roars has changed uskaty perrys firework has changed the world"
"hermosa original inteligente que mas podemos pedir"
"coooooooooool"
"i want roar"
"muito legal amoo"
"weird"
"some people need a job and a life regarding the longest comment on youtube"
"super video karty perry má práve let"
"ill make a parody of it"
"voy a hacer una parodia de esto"
"still love this song"
"shes too hot for survival stuff lolsd"
"is this the only good song she has seems like it"
"wat merri chispian roar lek"
"she is so pretty i love her i am her number fan i llove u katy"
"wow that much views"
"kay eu te amo muito minha flor"
"beautiful song super cute i love song and i love caty perry"
"a decent lady"
"love el music"
"oh yeah"
"oh yeah"
"roaaaaaaaaaaaaaaaaaaaaaaarrrri love katy"
"kocham ta piosenke"
"i used to bite my tongue and hold my breath scared to rock the boat and make a mess so i sat quietly agreed politely i guess that i forgot i had a choice i let you push me past the breaking point i stood for nothing so i fell for everything you held me down but i got up already brushing off the dust you hear my voice your hear that sound like thunder gonna shake the ground you held me down but i got up get ready cause i had enough i see it all i see it now i got the eye of the tiger a fighter dancing through the fire cause i am a champion and youre gonna hear me roar louder louder than a lion cause i am a champion and youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar now im floating like a butterfly stinging like a bee i earned my stripes i went from zero to my own hero you held me down but i got up already brushing off the dust you hear my voice your hear that sound like thunder gonna shake the ground you held me down but i got up get ready cause ive had enough i see it all i see it now i got the eye of the tiger a fighter dancing through the fire cause i am a champion and youre gonna hear me roar louder louder than a lion cause i am a champion and youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar roar roar roar roar roar i got the eye of the tiger a fighter dancing through the fire cause i am a champion and youre gonna hear me roar louder louder than a lion cause i am a champion and youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar"
"she so fine only reason im watching this"
"im not biggest katy perry fan but i love this song i think your voice is amazing"
"i think this video is more exciting"
"hot"
"este vídeo me encanto katy pery love"
"i love it"
"eu amo ela"
"kitty purry that was a good one"
"i love this song"
"hola"
"so nice"
"i love it katy perry"
"i love it roar"
"roar"
"hahaha"
"u gonna hear merof rof"
"diva demais"
"a"
"có hóa thành c p thì cung ch là c p cái hjjjj"
"i love mv katy perry roar"
"im ur biggest fan"
"i love you kt perry"
"lagunya bagus"
"great song i love tigers"
"eye of a king"
"whats the instrument playing the deep long notes"
"i actually like this song as i dont love pop that much"
"hey katy perry i want to go out with you hit me up"
"no you do not want to visit her one day not trying to be mean but she prays to the devil"
"where did she get the gold for that collor on the tiger"
"id fuck her faithfully everyday"
