"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"144","im not gonna lie i love this one and fireworks and dark horseufeff"
"145","en la selvaufeff"
"146","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"147","in real life that tiger would of destroyed her if she got that close lolufeff"
"148","katy perry i hate you and you are lucky people love youufeff"
"149","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"150","not goo i dot like dis ufeff"
"151","good musicufeff"
"152","ucheck out my personally created playlist on youtube ub i chose all the videos that r in this playlist and i consider this my inspirational playlist that i have to listen to every morning to help me get pumped up and feeling good and strong and pretty and ready to take on my day one day at a time maybe some of the wonderful songs on this playlist do the same for all us ladies out there u ufeff"
"153","she is hot as hellufeff"
"154","they gonna see me roar watch out banks im gonna getcha mr alan hawkinsub ufeff"
"155","essa musica é lindaufeff"
"156","amei a letra da musica muito bem elaboradaufeff"
"157","check out this video on youtube ufeff"
"158","yes kids its entirely safe to run into a jungle and shout at tigersufeff"
"159","to the reader you are an amazing person and dont listen to the people who say you cant do something you are a beautiful and unique human being believe in yourself ufeff"
"160","uceuuduuuduceuuceuceuaufud amorfufuu y pazuc ufeff"
"161","i think that song is fantasticufeff"
"162","katy perry is dumb ufeff"
"163","i love it ufeff"
"164","i love that songufeff"
"165","awfullufeff"
"166","maganda katy perryi love uufeff"
"167","to that missing an elephant tusk ufeff"
"168","me gusta la cancionufeff"
"169","nokia lumia ufeff"
"170","man are just laimfufuuafufuuaufeff"
"171","i love that kitty purry ufeff"
"172","so creativeufeff"
"173","es mejor la kati perri roar ufeff"
"174","katy perry roar official httpyoutubecevxzvsjlkufeff"
"175","i ilke katy perryufeff"
"176","ufeff"
"177","it looks like she was bitten by an elssnakeufeff"
"178","beautifull ufeff"
"179","ror ufeff"
"180","uuuauuuduuf uuuuuuuufeff"
"181","loved itufeff"
"182","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"183","i love that song ufeff"
"184","uuufuu uu uuuuaua uuu uuuu uuucuuau uuauuauauu uuuuuuuufeff"
"185","i love u katy perry offcialufeff"
"186","i love perry song much ufeff"
"187","i love her songsufeff"
"188","check out my channelufeff"
"189","awebo si si no awebo si katy looks better without execisve makeupufeff"
"190","ufeff"
"191","loufeff"
"192","ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc ucubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc ucubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc ucubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc ufeff"
"193","love if watching in ufeff"
"194","uuu uaubuuu uf uuuuduuuuududuuf uuuuuauuf uaueuueuuuf uucueuuuu uauduuu ufuduuuufeff"
"195","knuufeff"
"196","my daughter is singing this song for choir at deming battan elementray if you want to come you can ufeff"
"197","why did you make this videoufeff"
"198","check out this playlist on youtubeufeff"
"199","op test hey agaty ufeff"
"200","love katyufeff"
"201","is perfect sorryufeff"
"202","nice video katyufeff"
"203","i love your musics katy is perfectsufeff"
"204","piekne video ponad milionów odslon ufeff"
"205","dobra pisnickaufeff"
"206","i loved the monkeyufeff"
"207","piekne video ponad milionów odslon ufeff"
"208","i really want to met you so muchufeff"
"209","i love katy perryufeff"
"210","e yasmin show a musica katy perreufeff"
"211","hay oi là hayufeff"
"212","rooaruuauuauufeff"
"213","woow i like this music ufeff"
"214","when it is music class we sing baby song but also this song and all the boys hate it but one boy likes itufeff"
"215","bravissimaufeff"
"216","bove esse vidio e maça kkkkkkkkkkkkkkufeff"
"217","u funny ufeff"
"218","this song makes me feel like i can do anythingfufuufufuudfufuuauafufuufufuufufuufufuuafufuuafufuuufeff"
"219","thumbs up if youre watching in ufeff"
"220","my life mainlyufeff"
"221","i love your music you are a someufeff"
"222","kuty purryufeff"
"223","great sound and badest videoufeff"
"224","please subscribe to my youtube channelufeff"
"225","ufeff"
"226","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"227","bravoufeff"
"228","i dont get this songufeff"
"229","what the heck shes so beautifulllll ufeff"
"230","no tienes que hacer playback enseña tu voz de verdadufeff"
"231","i soooooo lovvvvvvve the song roarufeff"
"232","lindaufeff"
"233","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"234","fantasticolindalinda ufeff"
"235","this is so motivating that my lizard became a dragonufeff"
"236","ufeff"
"237","its pretty strange but this song make me feel better stronger when im downbut im pretty sure no one cares a fuck bout itufeff"
"238","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"239","jadore ufeff"
"240","piekne video ponad milionów odslon ufeff"
"241","that scream hahaha love itufeff"
